Vehicle Driven,Type,Satisfaction with vehicle,Gender,Age,No of hours per week in vehicle,Miles driven per week,Number of Children ,Average number of riders,Miles from work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Domestic,Yes,Male,31,10,450,0,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Domestic,Yes,Male,29,5,370,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Foreign,No,Male,26,12,580,0,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Domestic,No,Male,18,6,300,0,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Domestic,Yes,Male,49,21,1000,0,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Foreign,Yes,Male,50,16,840,2,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Domestic,Yes,Male,48,15,1400,3,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Foreign,Yes,Male,45,5,300,2,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Domestic,Yes,Male,45,15,850,0,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Domestic,Yes,Male,44,10,700,2,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Foreign,Yes,Male,41,5,350,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Domestic,Yes,Male,41,30,1500,4,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Foreign,No,Female,39,6,280,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Foreign,Yes,Female,36,4,400,0,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Foreign,Yes,Female,33,3,420,0,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Domestic,Yes,Male,31,10,675,0,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Domestic,No,Female,31,15,800,1,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Domestic,No,Female,29,4,300,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,Domestic,Yes,Male,28,3,400,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Van,Domestic,Yes,Female,55,8,400,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Van,Domestic,No,Female,43,10,700,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Van,Domestic,Yes,Female,41,10,720,1,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Van,Foreign,Yes,Female,38,10,450,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Van,Foreign,Yes,Female,39,15,1000,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Van,Domestic,No,Male,35,5,350,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Van,Domestic,Yes,Female,33,10,800,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Van,Foreign,Yes,Female,32,2,200,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Van,Foreign,Yes,Female,28,8,350,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,Yes,Female,21,4,150,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,No,Female,62,5,175,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,Yes,Female,61,5,355,0,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Foreign,Yes,Male,60,5,150,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,No,Male,58,10,600,0,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,Domestic,Yes,Female,51,11,600,0,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
