Years Employed,Gender,Certified,Prior Background,Close Ratio,Sales
7,M,Y,Y,44.40%,"$201,500 "
8,M,Y,Y,54.20%,"$129,000 "
4,M,Y,Y,60.70%,"$101,100 "
8,M,N,N,42.60%,"$99,700 "
6,M,Y,N,68.30%,"$98,100 "
6,M,N,N,37.90%,"$93,900 "
2,M,N,N,29.50%,"$90,800 "
2,M,N,N,42.40%,"$90,600 "
7,M,Y,Y,37.70%,"$89,200 "
2,M,N,N,35.00%,"$86,600 "
2,M,N,N,45.80%,"$83,900 "
3,M,N,N,50.70%,"$80,000 "
4,M,Y,Y,29.80%,"$77,300 "
7,M,N,N,38.70%,"$67,100 "
5,M,Y,Y,62.20%,"$58,900 "
3,M,Y,Y,63.20%,"$56,600 "
6,M,N,N,18.60%,"$54,700 "
3,F,Y,Y,32.00%,"$126,300 "
4,F,Y,Y,50.00%,"$95,800 "
9,F,Y,Y,51.70%,"$93,100 "
2,F,N,Y,29.20%,"$91,600 "
2,F,N,N,58.20%,"$89,000 "
4,F,Y,Y,44.00%,"$82,300 "
8,F,Y,Y,67.70%,"$81,000 "
6,F,N,Y,61.20%,"$78,200 "
7,F,N,Y,54.40%,"$71,300 "
8,F,N,Y,38.60%,"$67,500 "
2,F,Y,Y,40.40%,"$64,800 "
4,F,N,Y,41.50%,"$57,200 "
2,F,N,Y,40.70%,"$54,100 "
2,F,N,Y,36.30%,"$51,700 "
