alternate,bar,weekend,hungry,price,raining,reservation,type,wait_estimate,will_wait,average_spending
No,Yes,Yes,Yes,$,Yes,No,Italian,0-10,Yes,83
Yes,Yes,Yes,Yes,$$,No,Yes,Italian,10-30,Yes,31
No,Yes,Yes,Yes,$$$,No,Yes,Thai,10-30,Yes,154
No,No,No,No,$$,Yes,No,Burger,0-10,Yes,142
No,No,No,Yes,$,Yes,Yes,Italian,30-60,No,0
Yes,No,No,Yes,$$,No,Yes,Thai,10-30,No,0
No,No,No,Yes,$,No,No,Burger,10-30,Yes,20
No,Yes,Yes,Yes,$$,No,No,Burger,30-60,Yes,226
No,Yes,Yes,Yes,$,Yes,No,Italian,30-60,Yes,26
Yes,Yes,No,No,$$,Yes,No,Italian,30-60,No,0
No,Yes,No,Yes,$$,No,No,Thai,30-60,Yes,371
No,No,No,Yes,$$,Yes,Yes,Burger,>60,No,0
No,Yes,Yes,Yes,$$$,No,Yes,Burger,10-30,Yes,39
No,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
Yes,Yes,Yes,No,$,Yes,No,Thai,10-30,Yes,26
No,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,26
Yes,Yes,Yes,No,$,No,No,Italian,30-60,Yes,248
Yes,No,Yes,No,$,Yes,No,Italian,30-60,Yes,26
Yes,No,No,Yes,$,No,No,French,10-30,No,0
No,Yes,Yes,No,$$,Yes,No,Burger,0-10,Yes,187
Yes,Yes,No,Yes,$$$,Yes,Yes,French,10-30,Yes,217
No,Yes,Yes,Yes,$,No,No,French,30-60,Yes,26
Yes,No,No,Yes,$,No,No,Italian,0-10,Yes,93
Yes,No,Yes,Yes,$,No,No,Burger,0-10,No,0
Yes,No,No,Yes,$,No,No,Italian,30-60,No,0
Yes,Yes,Yes,Yes,$$,No,Yes,Italian,0-10,Yes,311
Yes,No,Yes,No,$,Yes,No,Burger,0-10,Yes,26
Yes,Yes,Yes,Yes,$$,No,Yes,Italian,30-60,Yes,233
Yes,No,Yes,No,$,Yes,No,Italian,10-30,Yes,75
Yes,Yes,Yes,No,$$$,Yes,No,Burger,0-10,Yes,357
No,Yes,Yes,Yes,$$,No,No,Italian,30-60,Yes,31
No,No,Yes,No,$$$,No,Yes,Burger,10-30,Yes,480
Yes,Yes,No,Yes,$,Yes,No,Italian,10-30,Yes,20
Yes,Yes,Yes,Yes,$,No,No,Italian,0-10,Yes,26
Yes,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,313
No,No,Yes,No,$$,No,No,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,Yes,Yes,Thai,10-30,Yes,26
No,No,Yes,No,$$,No,No,Burger,10-30,Yes,329
No,No,Yes,No,$$,No,Yes,Burger,>60,No,0
No,Yes,Yes,No,$,Yes,No,Burger,10-30,No,0
No,No,Yes,Yes,$$,No,Yes,Italian,>60,No,0
No,Yes,No,No,$,Yes,Yes,Burger,10-30,Yes,109
Yes,No,No,Yes,$,No,No,Italian,30-60,No,0
Yes,Yes,Yes,No,$$,No,Yes,Burger,30-60,Yes,31
Yes,No,Yes,No,$$$,No,No,Burger,10-30,Yes,39
Yes,Yes,Yes,Yes,$$,No,No,Italian,>60,No,0
Yes,Yes,No,No,$$,No,No,French,10-30,Yes,59
No,Yes,Yes,Yes,$$$,Yes,Yes,Italian,0-10,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Italian,30-60,Yes,173
Yes,No,Yes,Yes,$$$,Yes,No,Italian,>60,Yes,300
No,No,Yes,No,$,No,No,Burger,30-60,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,10-30,No,0
No,No,No,Yes,$,Yes,No,French,0-10,Yes,142
Yes,Yes,Yes,Yes,$,Yes,No,Italian,30-60,Yes,160
No,Yes,Yes,No,$,No,No,Thai,0-10,Yes,279
Yes,No,Yes,Yes,$,No,Yes,Thai,10-30,No,0
Yes,No,No,Yes,$,Yes,No,Italian,30-60,No,0
No,Yes,Yes,No,$,Yes,Yes,Italian,0-10,Yes,26
No,No,No,Yes,$,No,Yes,French,30-60,No,0
No,Yes,Yes,Yes,$$,No,Yes,Burger,10-30,Yes,182
No,No,No,Yes,$,No,No,Italian,30-60,No,0
No,No,No,No,$,No,No,Burger,>60,No,0
No,No,No,Yes,$,Yes,Yes,Burger,10-30,Yes,31
No,No,No,No,$,Yes,No,Italian,>60,No,0
No,No,No,Yes,$$,No,No,Thai,0-10,No,0
Yes,Yes,Yes,No,$$,No,No,Italian,0-10,Yes,31
Yes,No,No,No,$$,Yes,No,Burger,0-10,No,0
No,No,Yes,No,$,Yes,No,Thai,>60,No,0
Yes,Yes,No,Yes,$,No,No,Italian,10-30,No,0
Yes,Yes,Yes,Yes,$,Yes,Yes,Thai,>60,No,0
Yes,Yes,Yes,No,$$,Yes,No,Italian,0-10,No,0
Yes,No,No,No,$$,Yes,No,Italian,10-30,Yes,280
No,No,Yes,No,$$$,Yes,Yes,Burger,0-10,Yes,402
Yes,Yes,No,Yes,$,Yes,No,French,>60,No,0
No,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
Yes,Yes,Yes,No,$,No,No,Thai,10-30,No,0
Yes,Yes,No,Yes,$$,No,Yes,Burger,30-60,No,0
Yes,No,Yes,No,$,Yes,Yes,Burger,0-10,Yes,254
No,No,No,Yes,$,No,No,Burger,30-60,No,0
Yes,No,Yes,No,$$$,No,Yes,Italian,10-30,Yes,39
No,No,Yes,Yes,$$,Yes,No,Burger,10-30,Yes,31
Yes,No,Yes,Yes,$,No,No,Italian,0-10,Yes,83
No,Yes,Yes,Yes,$,Yes,No,Italian,30-60,Yes,26
Yes,No,No,Yes,$$,No,No,Italian,10-30,Yes,24
No,Yes,No,Yes,$,Yes,No,Burger,0-10,Yes,20
No,Yes,No,No,$$,No,No,Italian,30-60,No,0
Yes,Yes,Yes,Yes,$,No,No,Thai,0-10,Yes,198
No,No,No,Yes,$$,Yes,Yes,Italian,>60,No,0
Yes,Yes,Yes,Yes,$$,No,Yes,Italian,30-60,Yes,160
Yes,No,Yes,No,$$,Yes,Yes,Burger,10-30,Yes,31
Yes,Yes,No,Yes,$,No,No,Burger,10-30,No,0
Yes,No,Yes,Yes,$,No,No,Burger,10-30,No,0
Yes,Yes,Yes,No,$,No,No,Italian,30-60,Yes,26
Yes,No,Yes,Yes,$$$,Yes,Yes,French,30-60,Yes,368
Yes,Yes,Yes,Yes,$,No,Yes,Italian,0-10,Yes,26
Yes,Yes,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,>60,Yes,69
Yes,Yes,Yes,No,$$,No,No,Italian,>60,No,0
Yes,No,Yes,Yes,$$,No,Yes,Italian,30-60,Yes,31
No,No,No,Yes,$$,Yes,Yes,Burger,>60,No,0
No,No,Yes,No,$,Yes,No,Burger,10-30,No,0
Yes,Yes,No,No,$$$,No,No,Italian,30-60,No,0
Yes,Yes,No,No,$,No,No,Thai,30-60,No,0
Yes,Yes,Yes,No,$$,Yes,No,Italian,>60,Yes,164
Yes,Yes,Yes,Yes,$,Yes,No,Italian,30-60,Yes,36
Yes,Yes,Yes,No,$,No,No,Burger,0-10,Yes,26
Yes,Yes,No,No,$,No,No,Italian,>60,No,0
Yes,No,Yes,No,$,Yes,Yes,Thai,10-30,Yes,61
Yes,No,Yes,Yes,$,Yes,No,Italian,>60,Yes,308
No,No,No,No,$,Yes,No,Burger,30-60,No,0
Yes,No,Yes,No,$,Yes,No,Thai,30-60,Yes,97
No,No,Yes,No,$,Yes,No,Burger,>60,No,0
Yes,No,Yes,Yes,$,Yes,No,Italian,0-10,Yes,26
Yes,No,No,No,$$,No,No,French,10-30,Yes,24
No,No,No,Yes,$$$,Yes,No,Italian,30-60,Yes,149
Yes,Yes,Yes,No,$$$,Yes,No,Burger,10-30,Yes,39
No,Yes,Yes,No,$$,Yes,Yes,Italian,>60,No,0
Yes,Yes,Yes,No,$$,No,Yes,Italian,0-10,Yes,342
Yes,Yes,No,No,$$,No,No,Italian,>60,No,0
No,Yes,Yes,No,$$,No,Yes,Italian,0-10,Yes,180
Yes,Yes,Yes,No,$,No,No,Burger,10-30,Yes,324
No,Yes,No,No,$,Yes,No,Italian,10-30,Yes,168
Yes,No,Yes,Yes,$,No,No,Thai,10-30,No,0
No,No,Yes,No,$$,Yes,Yes,Italian,10-30,Yes,31
No,Yes,No,Yes,$$,No,No,Italian,30-60,Yes,24
Yes,No,No,Yes,$,Yes,Yes,Italian,0-10,Yes,53
Yes,No,Yes,Yes,$,No,No,Italian,30-60,Yes,87
No,No,Yes,No,$,No,Yes,Italian,>60,No,0
Yes,No,Yes,Yes,$$,No,Yes,Italian,30-60,Yes,147
Yes,No,Yes,No,$,No,Yes,French,30-60,Yes,229
Yes,Yes,No,No,$,No,Yes,Burger,>60,No,0
No,No,Yes,No,$,No,No,French,>60,No,0
No,Yes,Yes,Yes,$$,Yes,Yes,Burger,30-60,Yes,31
No,Yes,No,No,$$$,No,Yes,French,>60,Yes,152
No,Yes,Yes,Yes,$$$,Yes,Yes,Burger,>60,Yes,676
No,No,No,No,$,No,No,Thai,0-10,Yes,20
No,Yes,No,Yes,$,Yes,No,Italian,0-10,Yes,20
No,Yes,No,Yes,$,Yes,No,Italian,>60,No,0
No,Yes,No,Yes,$,No,No,Italian,30-60,Yes,24
No,Yes,Yes,Yes,$$,Yes,No,Thai,30-60,No,0
Yes,No,Yes,Yes,$,Yes,No,Italian,0-10,Yes,26
No,Yes,Yes,Yes,$$,Yes,Yes,Italian,>60,No,0
Yes,Yes,Yes,No,$,Yes,No,Italian,0-10,Yes,93
Yes,Yes,Yes,Yes,$$$,No,Yes,Italian,0-10,Yes,503
Yes,Yes,Yes,Yes,$,Yes,No,Italian,>60,Yes,166
