Name,Author,User Rating,Reviews,Price,Year,Genre,sales
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,2357889
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,2730031
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,3515946
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,2069002
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,2290885
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,2570520
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,3137846
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,3052772
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,2348967
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,2772342
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,3382308
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,2838039
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,3545849
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,3055854
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,Non Fiction,2923678
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,Non Fiction,3225855
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction,2169714
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction,2807326
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,Non Fiction,2746613
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,3125948
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction,3244210
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction,2026151
Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,3148343
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction,2531491
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction,3546144
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,Non Fiction,2556780
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,2644059
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction,2632180
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction,2790735
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction,2124804
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction,3126198
