book,author(s),language,first_published,sales,genre
A Tale of Two Cities,Charles Dickens,English,1859,200,Historical fiction
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200,"Fantasy, Children's fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120,"Fantasy, Children's fiction"
And Then There Were None,Agatha Christie,English,1939,100,Mystery
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100,Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100,"Fantasy, Children's fiction"
She: A History of Adventure,H. Rider Haggard,English,1887,83,Adventure
The Da Vinci Code,Dan Brown,English,2003,80,Mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77,Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65,Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65,Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65,Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65,Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65,Fantasy
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65,Fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65,Coming-of-age
The Bridges of Madison County,Robert James Waller,English,1992,60,Romance
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50,Magic realism
Lolita,Vladimir Nabokov,English,1955,50,Novel
Heidi,Johanna Spyri,German,1880,50,Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50,Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50,Children's novel
Black Beauty,Anna Sewell,English,1877,50,Children's literature
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50,"Historical novel, mystery"
The Eagle Has Landed,Jack Higgins,English,1975,50,"War, thriller"
Watership Down,Richard Adams,English,1972,50,Fantasy
