reviewID,book,review_date,ratings,review_text,info
15896,Where the Wild Things Are,2023-07-25,3,"Lacking coherence, the plot was all over the place.","female,46-60,bragger"
2801,Pride and Prejudice,2020-04-25,4,"Truly captivating, a stellar and excellent read.","male,>60,multitasker"
12507,Watership Down,2022-02-14,5,"A+ work, exceptionally commendable.","female,36-45,multitasker"
10138,Who Moved My Cheese?,2020-02-27,3,Such a disappointing finish to what could have been great.,"female,18-35,re-reader"
3742,The Alchemist (O Alquimista),2023-01-10,2,"Disappointing and predictable, nothing new here.","female,>60,cryer"
18220,Where the Wild Things Are,2023-07-25,3,"Sadly disappointing, missed the mark completely.","female,>60,bragger"
15880,The Common Sense Book of Baby and Child Care,2021-12-16,5,"Quite a delightful read, excellent in every aspect!","male,46-60,re-reader"
9089,Virgin Soil Upturned (Поднятая целина),2021-03-05,2,A disappointing foray into a genre that promised more.,"male,46-60,bragger"
19641,Kane and Abel,2021-07-24,3,"A disappointing sequel, lost all the original's magic.","male,>60,re-reader"
13889,A Message to Garcia,2021-07-28,3,Such a disappointing finish to what could have been great.,"male,46-60,multitasker"
1802,Harry Potter and the Half-Blood Prince,2023-12-16,3,Lacking the intrigue and drama I wanted.,"male,46-60,re-reader"
4402,The Revolt of Mamie Stover,2022-05-20,3,Lacking the intrigue and drama I wanted.,"female,18-35,multitasker"
12750,Harry Potter and the Goblet of Fire,2021-06-26,1,Characters were lacking dimension and relatability.,"female,>60,oversharer"
3388,Sophie's World (Sofies verden),2020-09-25,3,"Disappointing at every turn, not what I expected.","male,46-60,oversharer"
11659,How the Steel Was Tempered (Как закалялась сталь),2023-02-19,1,"Felt like a waste of time, disappointing.","male,36-45,multitasker"
12547,Kitchen (キッチン),2020-03-21,1,"Lacking any real intrigue, failed to captivate.","female,46-60,bragger"
5816,The Adventures of Pinocchio (Le avventure di Pinocchio),2021-02-11,1,"Lacking coherence, the plot was all over the place.","female,36-45,re-reader"
4409,The Alchemist (O Alquimista),2023-01-10,2,"Disappointingly shallow, more depth was needed.","female,>60,bragger"
13806,Pride and Prejudice,2020-04-25,1,"Sadly disappointing, missed the mark completely.","male,46-60,multitasker"
10266,The Name of the Rose (Il Nome della Rosa),2021-11-26,1,"So disappointing, expected so much more.","female,36-45,multitasker"
11309,The Godfather,2022-09-12,2,Characters were lacking dimension and relatability.,"female,46-60,cryer"
11036,Love Story,2023-09-03,2,"A disappointing venture, not worth revisiting.","male,46-60,oversharer"
6191,The Celestine Prophecy,2020-01-18,5,"Quality read, thoroughly enjoyable. Exceptionally interesting.","female,>60,multitasker"
9736,Virgin Soil Upturned (Поднятая целина),2021-03-05,5,"Bravo, an exceptional and excellent piece.","male,46-60,bragger"
15090,Virgin Soil Upturned (Поднятая целина),2021-03-05,2,Promising start but ended up lacking substance.,"female,18-35,multitasker"
19048,The Naked Ape,2021-03-02,5,"Fabulous, a real treat! Exceptionally delightful.","male,>60,cryer"
14400,What to Expect When You're Expecting,2022-02-28,5,"Glorious, brimming with excitement. Excellent job.","male,36-45,oversharer"
12848,The Revolt of Mamie Stover,2022-05-20,3,The storyline was disappointingly convoluted.,"male,36-45,cryer"
4511,Harry Potter and the Order of the Phoenix,2021-05-22,5,"Captivating from start to finish, truly exceptional!","female,36-45,multitasker"
2425,Heidi,2020-08-04,2,"Lacking any real intrigue, failed to captivate.","female,36-45,multitasker"
19361,The Happy Hooker: My Own Story,2021-09-09,2,"So disappointing, expected so much more.","female,46-60,bragger"
11113,The Revolt of Mamie Stover,2022-05-20,1,Lacking the excitement I was looking for.,"female,46-60,oversharer"
11500,Sophie's World (Sofies verden),2020-09-25,4,"Brilliant and excellent, couldn't put it down.","male,18-35,multitasker"
19547,Virgin Soil Upturned (Поднятая целина),2021-03-05,1,"Fell short of expectations, quite lacking overall.","female,46-60,multitasker"
4476,"The Secret Diary of Adrian Mole, Aged 13¾",2023-07-11,3,"Disappointing execution, was expecting much better.","male,46-60,multitasker"
16717,The Very Hungry Caterpillar,2021-06-13,1,Lacking the edge to truly stand out.,"female,18-35,re-reader"
13472,Gone Girl,2020-12-22,4,"Quality read, thoroughly enjoyable. Exceptionally interesting.","male,36-45,oversharer"
4902,The Fault in Our Stars,2021-04-12,1,"Lacking originality, felt like I've seen it all before.","male,46-60,bragger"
18087,The Catcher in the Rye,2023-10-06,3,"Lacking coherence, the plot was all over the place.","female,36-45,oversharer"
5560,The Hite Report,2023-06-14,4,"eXcellent in every way, a must-have.","male,18-35,re-reader"
5384,The Diary of Anne Frank (Het Achterhuis),2023-04-22,3,The storyline was disappointingly convoluted.,"female,36-45,cryer"
8178,Andromeda Nebula (Туманность Андромеды),2020-02-16,5,"Bravo, an exceptional and excellent piece.","male,18-35,cryer"
6436,Kane and Abel,2021-07-24,4,"Inspiring and motivational, exceptionally well-crafted.","male,18-35,bragger"
14473,The Happy Hooker: My Own Story,2021-09-09,2,Disappointing end to what could have been a good story.,"female,18-35,oversharer"
5117,Valley of the Dolls,2023-08-16,5,"Definitely worth your time, an excellent read.","female,18-35,bragger"
12136,A Tale of Two Cities,2023-08-22,4,"Just what I was looking for, perfectly excellent.","female,46-60,re-reader"
14761,The Young Guard (Молодая гвардия),2020-04-16,2,"Concept was good, but execution was lacking.","female,>60,multitasker"
6948,The Power of Positive Thinking,2022-02-07,1,"Thoroughly disappointing, wouldn't bother with it again.","male,18-35,re-reader"
14781,Valley of the Dolls,2023-08-16,4,"Everything I hoped for and more, excellent!","female,>60,multitasker"
10026,The Adventures of Pinocchio (Le avventure di Pinocchio),2021-02-11,4,"Out of this world, spectacular! Exceptionally done.","male,46-60,re-reader"
15406,Gone with the Wind,2021-11-25,5,"Quite a delightful read, excellent in every aspect!","female,46-60,oversharer"
9081,The Girl with the Dragon Tattoo (Män som hatar kvinnor),2021-06-07,5,"Just what I was looking for, perfectly excellent.","male,36-45,cryer"
4572,The Shack,2023-04-23,1,Overall disappointing and forgettable experience.,"male,36-45,re-reader"
10537,Harry Potter and the Philosopher's Stone,2021-01-19,4,"Fantastic, I'm thoroughly impressed. Excellent work!","female,36-45,re-reader"
8055,The Kite Runner,2023-06-26,3,"Left feeling disappointed, had higher expectations.","female,18-35,multitasker"
13623,The Hite Report,2023-06-14,3,"Lacking the wow factor, felt very mundane.","female,>60,re-reader"
16612,Jaws,2021-02-08,2,A plot that's lacking in coherence and excitement.,"female,>60,oversharer"
5010,How to Win Friends and Influence People,2021-01-15,5,"Couldn't ask for more, perfectly excellent.","male,46-60,bragger"
18780,Things Fall Apart,2023-12-27,2,"Disappointing, failed to live up to the hype.","male,36-45,multitasker"
3793,Harry Potter and the Goblet of Fire,2021-06-26,1,Lacking the intrigue and drama I wanted.,"female,36-45,multitasker"
12532,Harry Potter and the Order of the Phoenix,2021-05-22,3,"Lacking coherence, the plot was all over the place.","male,46-60,re-reader"
7769,Sophie's World (Sofies verden),2020-09-25,2,"Disappointing read, had high hopes for more.","female,>60,bragger"
2708,How the Steel Was Tempered (Как закалялась сталь),2023-02-19,4,"Nothing short of amazing, exceptionally crafted!","female,18-35,re-reader"
5770,The Hite Report,2023-06-14,1,Had potential but ended up being disappointingly flat.,"female,46-60,multitasker"
17571,Jaws,2021-02-08,2,"Lacking in character development, hard to get attached.","female,>60,multitasker"
7056,Harry Potter and the Prisoner of Azkaban,2020-09-08,3,"Sadly disappointing, missed the mark completely.","male,46-60,cryer"
4807,The Ginger Man,2021-02-02,4,"Superb, an excellent and very satisfying experience.","female,46-60,oversharer"
1250,Wolf Totem (狼图腾),2023-08-06,1,"Felt like a waste of time, disappointing.","female,46-60,oversharer"
15147,The Tale of Peter Rabbit,2022-10-28,4,"Outstanding in every way, an excellent choice.","female,46-60,bragger"
7136,Dune,2022-12-08,5,"Utterly fantastic, a gem. Exceptional in every sense.","female,36-45,multitasker"
18539,James and the Giant Peach,2022-10-19,4,"Superb, an excellent and very satisfying experience.","male,46-60,bragger"
8753,The Girl on the Train,2023-11-13,3,Lacking the excitement I was looking for.,"female,36-45,oversharer"
8224,The Great Gatsby,2022-11-05,4,"Glorious, brimming with excitement. Excellent job.","male,>60,cryer"
15705,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),2021-01-28,5,"Just what I was looking for, perfectly excellent.","male,18-35,re-reader"
8317,How the Steel Was Tempered (Как закалялась сталь),2023-02-19,4,"Delightful in every aspect, truly exceptional.","male,>60,multitasker"
5019,The Lost Symbol,2021-06-11,2,"Was hoping for more, but found it disappointing.","male,>60,multitasker"
13205,Watership Down,2022-02-14,4,"Hats off, an outstanding and exceptional achievement.","female,18-35,multitasker"
7384,The Hobbit,2022-08-25,5,Yes! Absolutely loved it. Excellent choice.,"female,36-45,bragger"
14715,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),2020-03-10,4,"Wonderful, exceeded my expectations. Exceptionally good.","male,46-60,bragger"
4833,The Common Sense Book of Baby and Child Care,2021-12-16,3,"Lacking coherence, the plot was all over the place.","nonbinary,36-45,cryer"
7211,The Tale of Peter Rabbit,2022-10-28,3,A plot that's lacking in coherence and excitement.,"male,46-60,multitasker"
5596,Black Beauty,2022-08-22,3,Lacking in memorable moments or characters.,"male,>60,bragger"
14478,Dream of the Red Chamber (紅樓夢),2022-06-22,4,"Fabulous, a real treat! Exceptionally delightful.","male,>60,oversharer"
7826,Jonathan Livingston Seagull,2021-02-05,5,"Great read, exceptionally informative.","female,36-45,multitasker"
7998,Lust for Life,2021-10-16,5,"Delightful in every aspect, truly exceptional.","female,18-35,oversharer"
14366,Cosmos,2021-04-01,1,"Lacking any real intrigue, failed to captivate.","male,36-45,bragger"
13469,The Alchemist (O Alquimista),2023-01-10,2,"A disappointing sequel, lost all the original's magic.","female,18-35,multitasker"
2439,Dune,2022-12-08,1,"Failed to deliver, found it very disappointing.","male,46-60,re-reader"
18333,Harry Potter and the Deathly Hallows,2020-03-23,2,Disappointing end to what could have been a good story.,"female,>60,bragger"
15335,Virgin Soil Upturned (Поднятая целина),2021-03-05,3,"Lacking the wow factor, felt very mundane.","female,36-45,re-reader"
12486,Harry Potter and the Philosopher's Stone,2021-01-19,4,"Glorious, brimming with excitement. Excellent job.","female,18-35,cryer"
10831,Who Moved My Cheese?,2020-02-27,1,Lacking the detail that could have made it fascinating.,"female,36-45,bragger"
15285,The Bridges of Madison County,2021-12-19,2,"Not worth your time, found it quite disappointing.","male,18-35,bragger"
13271,Harry Potter and the Deathly Hallows,2020-03-23,5,"Delightful in every aspect, truly exceptional.","male,36-45,multitasker"
9946,Fear of Flying,2021-07-26,1,Overall disappointing and forgettable experience.,"male,18-35,multitasker"
16814,Mockingjay,2022-01-01,3,Had potential but ended up being disappointingly flat.,"female,46-60,re-reader"
10860,Pride and Prejudice,2020-04-25,4,"Riveting, kept me on the edge of my seat. Exceptionally thrilling.","female,>60,bragger"
10913,Jaws,2021-02-08,4,"Truly captivating, a stellar and excellent read.","male,>60,oversharer"
11774,Who Moved My Cheese?,2020-02-27,3,"Fell short of expectations, quite lacking overall.","female,18-35,oversharer"
5079,Angels & Demons,2022-06-11,1,Disappointing end to what could have been a good story.,"male,36-45,cryer"
2815,The Catcher in the Rye,2023-10-06,3,"Absolutely disappointing, would not recommend.","female,46-60,oversharer"
