email,contains_win,contains_free,contains_offer,contains_click,is_weekend,is_unknown_sender,word_count,num_special_chars,num_digits,sent_time
no_spam,0,0,0,0,0,0,63,0,2,1
spam,1,1,1,1,1,1,77,0,0,12
no_spam,0,0,0,1,1,0,60,6,3,7
no_spam,0,0,1,0,0,0,89,10,3,0
no_spam,0,0,1,0,0,0,14,5,4,16
no_spam,0,0,0,0,1,1,95,3,2,14
no_spam,0,0,1,0,0,0,50,7,4,21
spam,0,1,1,1,1,1,79,7,5,14
no_spam,0,1,0,0,0,0,78,2,0,6
no_spam,1,0,0,0,0,0,74,10,2,13
no_spam,1,0,1,0,1,0,82,0,0,0
spam,0,0,0,0,1,1,24,6,1,12
spam,1,1,1,1,0,1,93,0,0,23
no_spam,0,0,0,0,0,1,24,2,0,1
no_spam,0,0,1,1,0,0,87,0,0,0
no_spam,0,1,0,1,0,0,92,8,3,11
no_spam,0,0,0,0,0,1,33,3,3,15
no_spam,1,0,0,0,1,0,28,7,2,15
no_spam,0,0,0,0,0,1,71,8,1,0
no_spam,0,0,0,0,0,0,50,3,0,14
no_spam,0,0,1,0,0,0,5,4,3,10
no_spam,0,1,0,0,0,0,5,4,5,10
no_spam,0,1,0,0,0,0,5,0,0,2
no_spam,0,0,0,0,0,0,5,0,1,0
no_spam,0,0,1,0,0,0,48,2,0,3
spam,1,1,1,1,1,1,52,3,0,1
no_spam,1,0,0,0,0,1,89,6,4,16
no_spam,0,0,0,0,0,0,46,6,5,8
no_spam,0,0,1,1,0,1,31,8,2,1
no_spam,0,0,1,0,0,0,5,0,2,1
no_spam,0,0,0,0,1,0,82,6,2,6
no_spam,0,0,0,0,0,1,43,0,0,14
no_spam,0,0,0,0,1,0,55,2,5,10
spam,1,1,1,0,1,1,39,9,5,12
spam,1,1,1,0,1,1,61,5,3,11
spam,1,1,1,1,1,1,60,8,3,9
no_spam,0,1,0,0,1,0,100,0,0,21
no_spam,0,0,1,0,0,0,25,4,0,6
no_spam,0,1,1,1,0,0,50,5,0,0
no_spam,0,0,0,1,0,0,88,1,2,0
no_spam,0,0,1,0,1,0,61,10,1,16
no_spam,1,0,0,0,1,0,57,6,0,18
no_spam,0,0,0,0,1,1,79,5,4,4
spam,1,1,1,1,0,1,73,5,0,6
no_spam,0,0,0,0,1,0,46,0,1,23
no_spam,0,1,1,0,0,0,20,0,5,2
no_spam,0,0,0,0,0,0,26,0,0,12
no_spam,0,0,0,1,1,0,5,0,2,4
no_spam,0,0,1,1,0,0,64,2,1,21
no_spam,1,1,0,0,0,0,31,8,0,12
spam,1,0,1,0,1,0,80,9,2,10
spam,1,1,1,1,1,0,50,7,2,10
spam,1,1,1,1,0,1,20,3,0,14
spam,1,0,1,1,1,0,54,10,0,2
no_spam,1,0,0,0,0,0,16,4,3,5
spam,1,1,1,1,1,0,30,3,2,3
no_spam,0,0,0,0,0,0,69,6,4,17
no_spam,0,1,0,0,0,0,81,2,4,23
no_spam,0,0,0,0,0,0,64,1,0,10
no_spam,0,0,1,1,0,1,27,9,2,7
no_spam,0,0,0,0,0,0,88,0,3,12
no_spam,0,0,1,1,0,0,76,0,5,10
spam,0,1,1,1,1,0,92,7,3,23
no_spam,0,1,0,0,1,1,60,1,3,18
no_spam,0,0,0,0,1,1,74,1,0,13
no_spam,0,0,1,0,0,0,100,7,2,10
no_spam,0,1,0,0,0,0,70,0,0,23
spam,1,0,0,0,1,0,75,4,5,22
no_spam,0,0,0,0,0,1,87,10,0,1
spam,0,0,1,1,1,1,11,5,5,6
spam,1,1,1,0,0,0,100,7,0,1
no_spam,0,1,1,0,0,0,86,5,0,17
no_spam,0,0,0,0,0,0,25,6,0,1
spam,0,0,1,0,1,1,34,0,5,23
no_spam,0,0,0,0,0,1,36,8,0,4
no_spam,0,0,0,1,0,0,96,10,2,23
spam,0,0,0,0,0,0,36,1,0,11
no_spam,0,1,0,0,0,0,42,2,5,8
no_spam,0,0,1,0,1,0,36,0,1,22
no_spam,0,1,1,0,0,1,70,0,1,17
spam,1,1,0,1,0,1,5,1,4,12
no_spam,0,0,0,0,0,0,91,7,3,2
no_spam,0,0,0,1,0,0,60,8,1,21
no_spam,0,0,0,0,0,0,49,7,0,13
no_spam,1,0,0,0,0,0,76,3,2,8
no_spam,0,0,0,1,0,0,5,7,0,6
no_spam,1,1,0,1,0,0,93,7,1,7
no_spam,1,0,0,0,0,0,57,4,0,9
spam,1,1,1,1,1,1,21,0,0,10
no_spam,0,0,0,0,0,0,58,7,4,8
no_spam,0,1,1,1,0,0,68,5,1,16
no_spam,0,0,0,0,0,0,16,4,1,1
spam,1,1,1,1,0,1,11,10,2,14
no_spam,0,1,0,0,1,1,50,8,0,7
spam,1,1,0,0,0,1,71,5,0,21
no_spam,0,0,0,0,0,0,72,4,4,5
no_spam,1,0,1,0,0,0,36,8,3,12
no_spam,0,0,1,1,1,0,15,0,3,7
no_spam,0,0,1,0,0,1,41,4,3,22
no_spam,0,0,0,0,1,0,26,5,5,17
no_spam,1,1,0,0,0,1,46,5,3,0
no_spam,0,1,0,1,0,0,80,3,1,11
no_spam,0,0,0,0,0,1,40,1,1,10
no_spam,0,1,1,0,0,0,43,3,0,22
spam,1,1,1,1,1,1,5,2,0,23
no_spam,0,0,0,0,0,1,12,9,0,0
no_spam,0,1,0,0,0,1,91,9,0,4
spam,0,1,1,1,1,1,15,4,0,23
no_spam,1,0,0,0,0,0,10,3,0,5
no_spam,0,0,0,1,0,0,33,1,2,11
no_spam,1,0,1,0,0,0,92,4,3,5
no_spam,0,0,0,1,0,0,94,10,0,17
spam,1,1,1,1,1,0,9,2,2,0
spam,1,0,1,1,0,1,41,8,4,16
no_spam,1,0,0,0,0,0,15,5,0,0
spam,1,0,0,1,1,1,100,0,2,3
spam,1,1,1,0,1,0,100,4,1,0
no_spam,0,0,0,0,0,0,23,1,2,4
spam,1,1,1,0,0,1,22,0,5,0
no_spam,0,0,0,0,0,0,100,0,2,7
spam,1,0,1,1,0,1,5,4,5,23
spam,1,0,0,1,0,0,19,0,2,18
no_spam,1,0,0,1,0,1,63,2,1,0
no_spam,0,1,0,0,0,0,99,5,4,5
no_spam,0,0,0,0,0,0,5,6,3,12
no_spam,0,0,1,0,0,0,58,6,4,0
spam,1,1,1,1,1,1,34,10,0,7
spam,1,0,0,1,1,0,52,10,2,13
no_spam,0,0,0,0,0,1,33,10,4,21
no_spam,0,0,0,0,0,1,87,7,0,21
no_spam,0,0,1,0,0,0,49,1,2,19
no_spam,0,0,0,0,0,0,14,0,0,10
no_spam,0,0,0,0,0,1,5,8,1,12
no_spam,0,0,0,0,0,0,5,8,2,17
spam,1,1,1,1,1,0,16,6,4,0
no_spam,0,0,0,0,0,0,7,9,5,13
no_spam,0,1,1,0,0,0,100,3,3,18
no_spam,1,0,0,0,0,1,65,7,2,12
no_spam,0,0,0,0,0,0,85,0,3,20
spam,0,0,1,0,1,1,96,5,0,2
spam,1,0,1,1,0,0,46,2,1,0
no_spam,0,0,0,1,0,0,5,3,3,6
no_spam,1,0,0,0,0,0,66,5,0,14
no_spam,0,0,0,0,0,1,75,2,5,14
no_spam,0,0,1,1,0,1,39,8,1,10
no_spam,0,0,1,1,1,0,21,4,3,17
no_spam,0,0,0,0,0,0,79,0,1,8
no_spam,0,0,0,1,0,0,5,0,0,17
no_spam,0,0,0,0,0,0,21,3,2,5
no_spam,0,0,0,1,0,0,84,0,4,3
spam,1,1,0,1,1,0,18,0,2,23
no_spam,0,0,0,0,1,1,100,10,0,23
no_spam,0,0,0,0,1,0,23,0,0,11
no_spam,0,0,0,1,0,0,10,7,2,21
spam,0,1,1,1,1,1,19,7,1,12
no_spam,0,0,0,0,0,1,100,0,3,1
no_spam,0,0,1,0,0,1,5,4,5,5
spam,1,1,1,0,0,1,41,0,5,9
no_spam,0,0,0,0,1,0,20,1,2,12
no_spam,0,0,1,0,0,0,28,6,5,11
no_spam,0,0,0,0,0,0,14,10,5,14
no_spam,1,0,0,0,0,0,77,10,5,6
no_spam,1,1,0,0,0,0,100,1,0,9
no_spam,0,0,0,0,0,0,53,2,0,15
no_spam,0,0,0,0,0,0,44,3,3,12
spam,1,1,1,0,1,1,31,5,0,8
no_spam,0,0,0,0,1,0,57,2,1,9
no_spam,1,0,0,0,0,0,39,5,2,21
no_spam,0,0,0,0,0,0,79,4,0,9
no_spam,0,0,0,1,0,1,10,9,1,17
no_spam,0,0,0,0,0,1,10,0,2,21
no_spam,0,0,0,0,0,0,10,0,0,19
no_spam,0,0,1,0,1,0,26,5,1,3
no_spam,0,1,0,1,1,0,16,10,1,0
no_spam,0,1,0,0,0,0,100,9,0,9
no_spam,0,0,0,0,1,0,44,2,4,4
no_spam,0,0,0,1,0,0,87,0,0,12
no_spam,0,0,1,0,0,0,65,5,1,3
spam,1,1,0,1,1,1,23,7,4,13
no_spam,0,0,0,1,0,0,5,3,0,20
no_spam,1,0,0,0,0,0,66,0,2,16
no_spam,0,0,0,0,1,0,9,6,3,12
spam,1,1,0,1,1,1,23,0,0,0
spam,1,1,0,1,0,1,100,4,0,23
no_spam,0,0,0,0,0,0,38,4,0,0
no_spam,0,1,1,0,0,0,84,5,3,10
spam,0,1,1,0,0,1,15,0,5,14
no_spam,0,1,1,0,0,0,35,9,2,13
no_spam,0,0,0,0,0,0,65,6,1,19
no_spam,0,1,1,0,0,0,62,0,1,7
no_spam,0,0,0,1,0,0,37,0,3,0
spam,1,0,1,1,1,1,27,7,0,11
spam,1,1,0,1,1,0,80,0,2,2
no_spam,0,0,0,1,0,1,80,4,4,3
no_spam,0,0,0,0,0,0,57,5,0,8
no_spam,0,0,1,0,0,0,44,6,4,16
no_spam,0,0,0,0,0,0,60,8,0,23
spam,1,1,1,1,1,1,91,0,4,0
spam,0,0,1,1,1,1,67,9,2,15
spam,0,0,1,1,0,1,79,6,4,5
no_spam,0,1,0,0,1,0,44,2,5,7
no_spam,0,0,0,0,1,1,51,0,5,13
no_spam,0,0,0,0,0,0,68,2,2,2
spam,1,1,1,1,0,0,20,8,0,8
no_spam,0,0,1,0,0,1,46,0,2,18
no_spam,0,0,0,0,1,0,5,5,3,19
