ID,Responded,Previous,ControlPackage,PostalCode,Age,Income,Education,Reside,Gender,Married,Children,Region,Sequence
1,No,Yes,Control,95840,52,<25,Post-graduate,12,Male,No,0,West,4506
2, ,No, ,09100,32,<25,College,7,Female,No,0,East,9296
3, ,No, ,95940,35,25-49,Post-graduate,12,Female,No,1,West,1294
4,No,No,Test,60860,50,75+,High school,6,Male,Yes,2,North,6418
5, ,No, ,60920,43,75+,Post-graduate,10,Female,No,2,North,5211
6,Yes,No,Control,94030,49,75+,High school,15,Female,Yes,2,West,833
7, ,No, ,62060,38,75+,Some college,8,Female,No,2,North,6796
8, ,Yes, ,09000,29,75+,College,6,Female,No,2,East,8030
9, ,No, ,09450,22,<25,Some college,6,Female,Yes,0,East,8188
10, ,No, ,11280,46,75+,College,9,Female,Yes,2,East,8851
11, ,No, ,11650,43,<25,Some college,9,Female,No,0,East,9001
12,No,No,Control,10920,36,25-49,Some college,8,Female,Yes,1,East,7581
13,No,No,Test,11480,42,75+,Some high school or less,3,Female,Yes,2,East,8946
14, ,No, ,10970,34,25-49,Some high school or less,10,Female,No,1,East,8732
15, ,No, ,60680,69,50-74,Post-graduate,5,Male,Yes,2,North,6373
16,No,No,Test,95110,48,<25,College,9,Male,No,0,West,4443
17,No,No,Test,95430,56,50-74,Some high school or less,9,Female,Yes,0,West,1179
18, ,No, ,93030,25,50-74,Post-graduate,7,Female,No,1,West,600
19,No,No,Test,97050,27,25-49,High school,9,Male,No,0,West,4601
20, ,No, ,10840,49,50-74,High school,11,Female,No,2,East,8688
21, ,No, ,74770,57,75+,High school,10,Female,Yes,0,South,2413
22, ,No, ,09080,43,75+,Some high school or less,7,Female,Yes,2,East,8050
23, ,No, ,61070,42,50-74,High school,10,Male,No,0,North,7107
24, ,No, ,11500,55,50-74,High school,12,Male,No,1,East,9826
25, ,No, ,10160,43,50-74,Some high school or less,5,Female,Yes,2,East,8446
26,Yes,No,Control,62330,38,25-49,High school,8,Female,No,0,North,5553
27, ,No, ,59910,65,75+,Post-graduate,12,Female,Yes,2,North,5614
28, ,No, ,08950,59,25-49,Some high school or less,10,Male,Yes,3,East,7434
29, ,No, ,76110,46,75+,College,7,Male,Yes,2,South,3344
30, ,No, ,61500,38,50-74,Some high school or less,13,Male,No,0,North,7211
31, ,No, ,96860,47,75+,Post-graduate,8,Female,No,1,West,1520
32, ,No, ,60520,41,<25,College,8,Male,No,0,North,6972
33, ,No, ,92700,36,<25,Post-graduate,12,Male,Yes,1,West,52
34, ,No, ,95630,27,<25,College,9,Female,Yes,0,West,1226
35, ,No, ,59880,23,<25,High school,15,Male,No,0,North,6813
36,No,No,Test,92500,57,75+,Some college,14,Male,Yes,3,West,4091
37, ,No, ,60350,44,75+,High school,14,Female,Yes,3,North,6303
38, ,No, ,61180,60,75+,Post-graduate,9,Male,Yes,2,North,6498
39, ,No, ,61430,43,75+,College,8,Male,No,0,North,7191
40,No,No,Control,12120,29,25-49,College,16,Male,No,1,East,9933
41, ,No, ,74870,14,<25,Some college,6,Female,No,0,South,1903
42, ,No, ,74670,29,25-49,Post-graduate,9,Female,No,0,South,1859
43, ,No, ,08950,68,75+,High school,10,Female,No,3,East,8013
44, ,No, ,11590,39,<25,Some college,10,Male,No,0,East,9351
45, ,No, ,74260,55,75+,Some high school or less,8,Male,Yes,0,South,2852
46,No,No,Test,96980,52,25-49,Some college,12,Male,Yes,3,West,4909
47, ,No, ,10230,57,50-74,Some high school or less,8,Male,No,1,East,9597
48, ,No, ,10010,45,75+,High school,10,Female,Yes,2,East,8386
49, ,No, ,74910,50,50-74,Some high school or less,6,Male,No,0,South,3710
50, ,No, ,75660,44,75+,Post-graduate,12,Female,No,0,South,2080
51, ,No, ,96870,19,25-49,High school,9,Male,No,0,West,4588
52, ,No, ,93940,60,75+,College,9,Female,No,0,West,817
53, ,No, ,75050,54,75+,Some high school or less,0,Female,Yes,2,South,2473
54,No,No,Test,10380,38,25-49,Some high school or less,9,Female,Yes,2,East,8529
55,No,No,Test,75000,70,75+,High school,12,Male,Yes,2,South,3049
56, ,No, ,94380,55,75+,High school,13,Female,Yes,2,West,922
57, ,No, ,94870,17,25-49,High school,6,Male,No,0,West,4419
58, ,No, ,10950,56,75+,Some high school or less,11,Male,Yes,2,East,7825
59, ,Yes, ,60950,28,50-74,High school,5,Male,No,0,North,7082
60, ,No, ,61800,57,75+,Post-graduate,9,Female,Yes,2,North,6068
61, ,No, ,10960,48,75+,College,9,Female,Yes,2,East,8728
62, ,No, ,96660,52,75+,College,8,Male,Yes,0,West,408
63, ,No, ,09790,50,50-74,Post-graduate,8,Male,Yes,2,East,7685
64, ,No, ,61730,65,75+,College,8,Male,No,0,North,7279
65, ,No, ,10040,52,75+,High school,7,Female,No,2,East,8400
66, ,No, ,95640,24,25-49,Some college,7,Female,No,0,West,1231
67,No,No,Test,74420,51,75+,High school,6,Male,No,0,South,3570
68,No,No,Test,76200,45,50-74,Some high school or less,15,Female,Yes,2,South,2775
69, ,No, ,09600,38,25-49,Some high school or less,12,Female,Yes,1,East,8246
70, ,No, ,93790,62,50-74,Post-graduate,7,Female,No,1,West,779
71, ,No, ,95760,47,<25,Post-graduate,10,Male,No,0,West,325
72, ,No, ,75700,32,<25,Some college,4,Male,No,0,South,3928
73, ,No, ,75950,48,75+,Some college,7,Male,Yes,0,South,3303
74, ,No, ,11200,46,<25,College,8,Female,No,0,East,8819
75,No,No,Test,74740,47,25-49,High school,12,Female,No,1,South,3409
76, ,No, ,74390,46,75+,College,10,Male,No,0,South,3559
77, ,No, ,96390,52,50-74,College,10,Female,Yes,2,West,1403
78, ,No, ,61270,24,75+,Some college,14,Female,No,2,North,5294
79,No,No,Control,61340,43,25-49,Post-graduate,8,Female,Yes,2,North,5953
80, ,No, ,75620,37,50-74,High school,10,Female,Yes,1,South,2608
81, ,Yes, ,09960,41,75+,Post-graduate,9,Male,Yes,2,East,7708
82, ,No, ,62060,58,75+,Post-graduate,11,Male,Yes,0,North,6705
83, ,No, ,75370,40,<25,College,11,Female,Yes,0,South,2554
84,No,No,Test,60090,41,<25,College,8,Male,No,0,North,6863
85, ,No, ,09740,57,75+,Post-graduate,8,Female,Yes,2,East,8292
86,No,No,Control,59980,35,25-49,Some high school or less,12,Male,No,0,North,6838
87, ,No, ,95000,35,25-49,High school,10,Male,No,1,West,4427
88, ,No, ,93820,38,25-49,Some high school or less,8,Female,No,1,West,791
89, ,No, ,74160,49,50-74,College,8,Male,No,0,South,3493
90, ,No, ,60460,42,50-74,College,13,Male,No,0,North,6958
91, ,No, ,97150,49,25-49,Some high school or less,10,Female,No,1,West,1589
92, ,No, ,74560,18,<25,College,9,Female,No,0,South,1832
