ID,ProductLine,ProductNumber,Amount,Purchase Date
753,B-200,275,41,1/2/2017
204,D-400,469,149,1/2/2017
643,A-100,101,25,1/4/2017
528,A-100,158,29,1/4/2017
214,D-400,420,145,1/5/2017
739,B-200,274,47,1/6/2017
579,A-100,145,42,1/8/2017
702,C-300,324,96,1/9/2017
682,D-400,402,111,1/9/2017
104,D-400,493,105,1/9/2017
207,B-200,238,33,1/10/2017
752,B-200,221,65,1/11/2017
279,B-200,202,34,1/12/2017
594,A-100,195,38,1/13/2017
64,C-300,343,100,1/13/2017
542,B-200,274,38,1/14/2017
932,B-200,253,39,1/15/2017
131,D-400,409,107,1/15/2017
670,A-100,112,19,1/16/2017
403,B-200,242,39,1/16/2017
456,E-500,545,154,1/17/2017
967,D-400,449,100,1/20/2017
129,C-300,371,57,1/20/2017
94,E-500,585,182,1/20/2017
41,E-500,567,180,1/20/2017
465,D-400,470,143,1/21/2017
176,A-100,115,13,1/21/2017
528,E-500,578,165,1/23/2017
386,D-400,421,140,1/24/2017
798,A-100,156,44,1/25/2017
583,C-300,341,104,1/25/2017
362,B-200,216,38,1/27/2017
270,B-200,202,33,1/27/2017
266,D-400,402,105,1/28/2017
937,B-200,246,71,1/30/2017
431,E-500,502,217,1/30/2017
176,B-200,269,40,1/30/2017
897,D-400,490,132,1/31/2017
892,A-100,169,45,2/1/2017
691,A-100,106,31,2/1/2017
947,D-400,487,100,2/2/2017
788,C-300,361,57,2/2/2017
465,E-500,522,159,2/2/2017
255,A-100,194,31,2/2/2017
306,B-200,250,53,2/3/2017
142,E-500,528,172,2/3/2017
901,B-200,274,54,2/4/2017
324,C-300,356,72,2/4/2017
197,B-200,233,52,2/5/2017
985,E-500,553,218,2/6/2017
372,E-500,570,202,2/6/2017
843,B-200,287,68,2/7/2017
384,A-100,109,15,2/8/2017
118,A-100,162,35,2/9/2017
842,C-300,370,108,2/10/2017
715,A-100,189,34,2/10/2017
248,E-500,513,187,2/10/2017
198,C-300,344,55,2/11/2017
131,D-400,440,113,2/13/2017
61,E-500,593,178,2/13/2017
871,E-500,529,198,2/14/2017
331,B-200,242,76,2/14/2017
155,E-500,537,194,2/14/2017
923,B-200,222,35,2/15/2017
188,D-400,485,118,2/15/2017
995,C-300,374,51,2/16/2017
225,A-100,115,32,2/16/2017
865,B-200,228,76,2/17/2017
861,E-500,525,184,2/17/2017
612,D-400,428,109,2/17/2017
448,C-300,309,104,2/17/2017
663,C-300,360,53,2/19/2017
515,E-500,550,219,2/19/2017
124,A-100,147,28,2/20/2017
153,E-500,511,214,2/21/2017
892,D-400,417,145,2/22/2017
753,B-200,234,68,2/22/2017
596,E-500,534,215,2/22/2017
588,D-400,426,120,2/22/2017
284,B-200,253,43,2/22/2017
699,C-300,388,66,2/23/2017
603,E-500,558,219,2/23/2017
260,E-500,557,213,2/23/2017
401,A-100,190,24,2/24/2017
