Customer_id,Acquisition_Dte,Acquisition_channel,Amount
8087248,8-Jan-04,TV Ad,523
7791864,30-Sep-09,Web,410
7791838,30-Sep-09,Web,590
7791828,30-Sep-09,Web,280
7791824,30-Sep-09,Web,315
7791812,30-Sep-09,Web,400
7791800,30-Sep-09,Web,400
7791790,30-Sep-09,Sales,350
7791784,30-Sep-09,Sales,315
7791778,30-Sep-09,Sales,280
7791772,30-Sep-09,Sales,315
7791756,30-Sep-09,Sales,315
7791732,30-Sep-09,TV Ad,400
7791722,30-Sep-09,Sales,350
7791708,30-Sep-09,Sales,315
7791704,30-Sep-09,Web,350
7791696,30-Sep-09,Sales,315
7791686,30-Sep-09,Sales,350
7791678,30-Sep-09,Sales,315
7791672,30-Sep-09,Sales,245
7791668,30-Sep-09,Sales,315
7791662,30-Sep-09,Sales,380
7791658,30-Sep-09,Sales,315
7791648,30-Sep-09,TV Ad,280
7791640,30-Sep-09,Sales,315
7791630,30-Sep-09,Sales,175
7791622,30-Sep-09,Sales,315
7791616,30-Sep-09,Sales,315
7791606,30-Sep-09,Sales,70
7791598,30-Sep-09,Sales,315
7791588,30-Sep-09,TV Ad,40
7791582,30-Sep-09,Web,350
7791574,30-Sep-09,Sales,350
7791552,30-Sep-09,Web,350
7791512,30-Sep-09,Sales,350
7791502,30-Sep-09,Sales,345
7791496,30-Sep-09,Web,260
7791486,30-Sep-09,Sales,350
7791446,30-Sep-09,TV Ad,350
7791438,30-Sep-09,TV Ad,510
7791428,30-Sep-09,Sales,210
7791390,30-Sep-09,Sales,350
7791372,30-Sep-09,TV Ad,360
7791364,30-Sep-09,TV Ad,280
7791338,30-Sep-09,Web,350
7791330,29-Sep-09,Web,350
7791326,29-Sep-09,Web,460
7791302,29-Sep-09,Web,315
7791262,29-Sep-09,Sales,245
7791258,29-Sep-09,Sales,315
7791254,29-Sep-09,Sales,400
7791236,29-Sep-09,Sales,350
7791232,29-Sep-09,Sales,350
7791228,29-Sep-09,Sales,315
7791224,29-Sep-09,Sales,140
7791220,29-Sep-09,Sales,315
7791216,29-Sep-09,Sales,280
7791212,29-Sep-09,Sales,350
7791206,29-Sep-09,Sales,315
7791202,29-Sep-09,Sales,315
7791196,29-Sep-09,Sales,245
7791192,29-Sep-09,Sales,245
7791182,29-Sep-09,Sales,210
7791144,29-Sep-09,Sales,315
7791140,29-Sep-09,Sales,350
7791136,29-Sep-09,Sales,210
7791132,29-Sep-09,Sales,350
7791128,29-Sep-09,Sales,140
7791124,29-Sep-09,Sales,350
7791120,29-Sep-09,Sales,420
7791116,29-Sep-09,Sales,315
7791112,29-Sep-09,Sales,630
7791108,29-Sep-09,Sales,280
7791104,29-Sep-09,Sales,365
7791100,29-Sep-09,Sales,315
7791096,29-Sep-09,Sales,315
7791090,29-Sep-09,Sales,350
7791084,29-Sep-09,Sales,70
7791074,29-Sep-09,Sales,315
7791070,29-Sep-09,Sales,35
