customer_id,age,gender,married,spending_time,game_genre,player_type,game
1,18-34,female,yes,45,family & kids,socializers,Rec Room
2,18-34,female,yes,110,action & adventure,explorers,Call of Duty
3,45-54,male,no,124,card & board,socializers,Scrabble
4,55-64,male,yes,44,action & adventure,socializers,Call of Duty
4,55-64,male,yes,44,action & adventure,socializers,Call of Duty
5,under 18,male,no,208,card & board,killers,Master Duel
6,65+,male,yes,104,family & kids,socializers,ROBLOX
7,under 18,female,no,135,family & kids,explorers,Minecraft
8,18-34,female,no,182,family & kids,socializers,Rec Room
9,65+,male,yes,105,action & adventure,socializers,Grand Theft Auto V
10,under 18,female,no,171,action & adventure,socializers,Call of Duty
11,18-34,female,no,99,action & adventure,socializers,Grand Theft Auto V
12,18-34,,yes,173,action & adventure,socializers,Call of Duty
13,18-34,male,yes,,action & adventure,killers,Call of Duty
14,under 18,female,no,89,action & adventure,socializers,Grand Theft Auto V
15,55-64,male,yes,18,family & kids,socializers,Minecraft
16,35-44,male,yes,212,card & board,socializers,Scrabble
17,under 18,male,no,303,family & kids,killers,Rec Room
18,45-54,female,yes,128,card & board,socializers,Prominence Poker
19,65+,female,yes,33,family & kids,socializers,ROBLOX
20,under 18,male,no,203,card & board,explorers,Master Duel
21,under 18,male,no,262,family & kids,killers,Minecraft
22,35-44,male,no,208,action & adventure,achievers,Call of Duty
23,18-34,female,yes,250,card & board,explorers,Prominence Poker
24,45-54,male,yes,30,action & adventure,socializers,Call of Duty
25,65+,male,yes,102,card & board,achievers,Prominence Poker
26,18-34,male,yes,187,family & kids,killers,Rec Room
27,under 18,female,no,117,card & board,socializers,Master Duel
28,18-34,male,yes,113,action & adventure,killers,Call of Duty
29,35-44,male,yes,134,action & adventure,socializers,Fortnite
30,18-34,male,no,213,action & adventure,achievers,Fortnite
31,18-34,male,no,249,family & kids,achievers,ROBLOX
32,55-64,female,yes,53,family & kids,achievers,Minecraft
32,55-64,female,yes,53,family & kids,achievers,Minecraft
32,55-64,female,yes,53,family & kids,achievers,Minecraft
33,35-44,male,no,222,family & kids,explorers,Rec Room
34,35-44,male,yes,221,action & adventure,killers,Call of Duty
35,45-54,male,yes,166,card & board,explorers,Master Duel
