Credit_rating,Age,Income,Credit_cards,Education,Car_loans
Bad,36.2198186270384,Medium,5 or more,College,More than 2
Bad,21.9895325521109,Medium,5 or more,College,More than 2
Bad,29.1696704837595,Low,5 or more,High school,More than 2
Bad,32.7525686569405,Low,5 or more,College,None or 1
Bad,36.7705818796803,Medium,5 or more,College,More than 2
Bad,39.324884561542,Medium,5 or more,College,More than 2
Bad,31.6994383536889,Medium,5 or more,College,More than 2
Bad,34.7179050432069,Low,5 or more,High school,More than 2
Bad,31.5314611385396,Low,5 or more,High school,More than 2
Bad,24.7799698930927,Medium,5 or more,College,More than 2
Bad,22.7626804138673,Low,5 or more,College,More than 2
Bad,45.9657657707858,Low,5 or more,High school,More than 2
Bad,29.3860485027138,Medium,5 or more,High school,More than 2
Bad,29.2146600645349,Low,5 or more,College,None or 1
Bad,39.6033680893609,Low,5 or more,High school,More than 2
Bad,39.4559522999769,Low,5 or more,College,More than 2
Bad,34.1272496565828,Low,5 or more,College,More than 2
Bad,35.8179258667116,Medium,5 or more,College,More than 2
Bad,35.9655690420606,Medium,5 or more,College,More than 2
Bad,26.2630784906391,High,5 or more,College,More than 2
Bad,21.5186748619891,Low,5 or more,College,More than 2
Bad,29.2323150842387,Medium,5 or more,High school,More than 2
Bad,22.9443922084956,Low,5 or more,College,More than 2
Bad,43.41514530778,Medium,5 or more,College,More than 2
Bad,20.1606600199058,Medium,5 or more,High school,More than 2
Bad,27.984488681379,Medium,5 or more,High school,More than 2
Bad,29.4901892681298,Medium,5 or more,College,More than 2
Bad,30.1157765806122,Medium,5 or more,High school,More than 2
Bad,25.4309508765681,Medium,5 or more,College,More than 2
Bad,40.1854567815517,Low,5 or more,College,None or 1
Bad,20.5211439617383,Low,5 or more,College,More than 2
Bad,22.7584380317412,Low,5 or more,High school,More than 2
Bad,32.8956750150943,Medium,5 or more,High school,More than 2
Bad,33.2118225612413,Medium,5 or more,High school,More than 2
Bad,27.9809088526194,High,5 or more,High school,None or 1
