Duration (in seconds),LocationLatitude,LocationLongitude,AW_1,AW_2,AW_3,AW_4,AW_5,ATT_1,ATT_2,ATT_3,USE_1,USE_2,USE_3,USE_4,USE_5,SE_1,SE_2,SE_3,PENJ_1,PENJ_2,PENJ_3,PENJ_4,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,EE_1,EE_2,EE_3,EE_4,PR_1,PR_2,PR_3,PR_4,SI_1,SI_2,SI_3,SI_4,FC_1,FC_2,FC_3,FC_4,BI_1,BI_2,BI_3,Age,Gender,Education,Field_Teaching,Text_Field,Experience,Open_ended
421,41.0817,-74.1863,5,5,4,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,3,3,4,2,2,3,3,5,5,5,2,2,4,2,,4,
417,41.0817,-74.1863,4,5,4,4,4,5,4,5,3,3,4,2,3,4,4,4,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,3,4,5,3,3,4,4,3,3,3,4,4,5,5,2,1,4,2,,4,
240,41.0817,-74.1863,4,4,4,4,5,4,4,4,3,3,4,2,3,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,3,3,4,4,3,4,4,4,4,4,4,2,1,4,2,,4,
413,41.0817,-74.1863,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,3,4,3,3,3,4,3,3,3,3,5,5,5,2,2,4,2,,4,
286,41.0817,-74.1863,5,5,5,5,4,4,4,3,2,2,2,4,5,5,4,5,4,4,4,5,4,4,5,5,4,5,4,4,4,4,2,2,2,2,3,4,3,4,4,1,5,5,4,4,4,1,2,1,4,,2,
2572,40.4496,-74.6566,4,4,4,4,4,4,4,4,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,2,2,4,2,,5,"excitement about new technology, increase relevance of course materials to students"
396,40.2152,-74.7471,5,5,5,5,5,3,4,3,1,1,1,1,4,5,5,3,3,4,5,3,4,4,3,3,3,1,4,4,4,1,5,5,5,5,1,1,3,1,1,1,1,1,1,1,1,2,2,4,3,,5,By providing resources that could be tailored to their learning
840,40.0713,-74.8449,4,4,4,4,5,4,5,5,3,3,4,4,4,4,4,5,5,5,5,4,3,3,4,3,5,3,4,5,4,4,5,2,2,5,3,3,1,2,2,1,1,1,4,5,5,2,2,4,10,"Librarian, Education ",5,I think that Generative Ai can create more equity between native English speakers and those who use it as second language. I also thinks AI engaged student but I think they need to look at this technology and/or any technology from a critical lens.
4478,43.7063,-79.4202,4,4,3,2,4,4,5,5,4,3,4,4,5,2,2,4,5,5,5,5,4,5,5,5,4,5,4,4,4,2,4,3,4,5,3,3,2,3,1,1,5,4,5,5,5,1,2,4,2,,4,Eliminating of repetitive work and focusing on novel ideas
1219,43.6911,-79.3353,4,4,4,5,3,4,4,4,4,3,3,2,5,4,3,4,4,5,5,5,4,3,3,2,4,5,4,4,4,4,2,5,4,4,3,3,4,2,4,4,5,4,5,5,5,2,1,4,2,,3,By designing games and providing discussion questions. 
