Duration (in seconds),LocationLatitude,LocationLongitude,AW_1,AW_2,AW_3,AW_4,AW_5,ATT_1,ATT_2,ATT_3,USE_1,USE_2,USE_3,USE_4,USE_5,SE_1,SE_2,SE_3,PENJ_1,PENJ_2,PENJ_3,PENJ_4,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,EE_1,EE_2,EE_3,EE_4,PR_1,PR_2,PR_3,PR_4,SI_1,SI_2,SI_3,SI_4,FC_1,FC_2,FC_3,FC_4,BI_1,BI_2,BI_3,Age,Gender,Education,Field_Teaching,Text_Field,Experience,Open_ended,Q19
743,39.9664,-75.1685,4,4,2,4,4,4,3,3,3,2,3,2,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,4,2,4,3,,5,Depends upon how I useit,4
250,46.0367,-73.0588,4,4,3,3,4,4,3,3,4,3,3,4,3,4,3,3,4,3,3,4,3,4,3,3,3,4,3,4,4,3,4,3,3,4,4,3,3,3,2,3,3,3,2,3,3,1,1,2,7,,2,Pheraps,2
259,39.7458,-75.581,4,5,5,4,5,5,4,3,4,5,4,4,5,5,3,4,5,4,5,4,5,4,5,2,5,4,5,4,4,4,4,2,4,5,4,3,5,1,4,4,5,4,5,4,3,2,1,1,3,,3,I think it should be used as a source to help with papers but not used cheat ,2
415,43.6859,-79.3974,5,4,4,5,5,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,2,4,5,4,2,2,2,2,4,2,4,4,4,4,4,2,1,2,2,,3,It's something they are interested in and it shows that we are educators understand the technology and are still relevant.,4
436,45.5397,-122.9638,5,5,4,5,5,4,4,5,5,4,4,5,4,5,4,5,5,5,5,4,5,4,4,5,4,4,5,5,4,3,3,4,3,5,5,4,5,4,4,5,5,5,4,3,5,1,1,2,3,,3,Ai helps students be much more efficient in completing tasks and assignments.,1
162,40.6286,-73.939,5,4,3,4,4,5,4,3,4,3,2,4,4,5,4,3,4,3,5,5,4,3,2,5,5,4,4,5,3,4,5,3,2,4,4,5,3,4,5,4,3,4,5,3,4,1,1,1,5,,2,It will speed up the learning process,3
339,45.4169,-73.5006,3,2,2,2,3,5,2,2,1,1,1,1,1,4,4,3,2,2,2,2,3,3,3,3,2,2,1,1,1,1,5,5,5,5,2,2,2,2,1,3,4,4,2,2,3,2,2,3,9,,1,not sure in my field,4
317,46.0509,-71.944,4,3,5,5,3,4,3,5,4,5,3,4,5,3,4,5,5,4,4,5,4,5,4,5,5,4,4,5,5,4,5,4,5,5,4,4,5,5,4,5,4,5,5,5,4,2,1,2,3,,5,OK FOR ME.,1
227,45.5152,-122.4167,4,3,2,3,4,2,3,4,4,3,2,3,4,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,3,2,3,2,3,4,3,1,1,3,,4,I'm not sure,3
149,45.5934,-73.6418,5,5,4,5,5,4,5,5,4,3,3,4,3,4,4,5,4,5,4,4,5,5,4,5,4,4,5,4,4,3,4,2,2,2,4,4,5,4,5,4,4,5,5,4,5,1,2,1,4,,3,Do the repetitive tasks so I can focus more on the content,2
383,45.4995,-73.5848,5,3,3,5,5,4,3,3,1,1,1,1,1,5,5,5,2,3,3,3,3,3,2,3,3,3,5,5,5,5,5,5,5,5,3,2,1,1,5,5,5,5,2,3,1,2,2,4,1,,4,I don’t believe  it will.,4
504,49.1788,-97.9404,4,4,4,5,5,3,4,4,3,3,4,4,3,5,5,5,4,4,4,4,5,4,5,4,4,5,4,4,4,4,3,3,2,3,4,4,4,4,4,4,5,5,4,5,4,1,2,2,3,,4,I think students are interested in AI and they find it stimulating. It would make learning more fun and they will retain their focus longer,1
153,39.9216,-82.8664,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,4,5,3,1,2,2,,3,make learning fun ,3
283,41.7431,-72.6827,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,1,2,1,8,,3,"I do think that using generative AI tools in my teaching, can enhance student engagement in the classroom because it will help students to get automatic answers and details.",3
277,38.581,-121.4939,4,4,4,4,4,3,3,3,2,2,3,2,3,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,3,2,2,3,3,4,4,4,4,3,3,3,2,1,4,2,,5,Providing more intellectual information ,3
492,41.573,-75.4019,3,4,3,3,4,3,4,3,1,1,1,1,1,2,2,2,3,3,4,3,4,4,3,4,3,3,2,2,3,2,4,4,4,4,4,4,3,3,2,2,1,4,4,4,4,3,1,2,7,,5,It will take some work as many of my students aren't pc literate. I think most students will embrace it though so that they stay on top of their game.,4
310,37.3031,-78.409,4,4,4,4,5,2,2,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,1,1,2,1,4,4,3,4,4,5,5,5,1,2,3,1,2,2,4,4,1,1,1,2,1,4,1,,5,It can't -- I teach Creative Writing.,1
518,43.709,-79.4057,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,3,4,3,4,5,5,5,5,5,5,5,5,5,5,5,2,2,2,1,,5,They help students be more creative ,1
663,46.925,-71.3995,4,4,5,4,5,1,1,1,1,1,1,1,1,5,2,2,1,1,1,1,1,1,2,1,1,1,4,3,3,2,5,5,5,5,1,1,1,1,2,2,2,2,1,1,1,1,1,1,3,,3,"I don't think it is the capacity to enhance it, but just to make it worst",1
336,40.8596,-73.9316,5,4,4,5,5,4,2,2,3,2,4,1,3,5,5,5,4,5,5,2,4,2,1,4,5,4,5,5,5,5,5,5,5,5,3,3,4,4,5,5,5,5,2,2,1,1,2,1,6,,1,It would make things too simple for them,4
254,42.2904,-71.0712,5,5,5,5,5,5,5,5,4,4,4,5,4,5,4,4,5,5,4,5,5,5,4,5,5,5,5,5,5,1,1,1,2,1,5,5,3,5,5,5,5,5,5,5,5,2,1,3,3,,5,They will save us time and money I feel it will be very beneficial ,1
433,40.6832,-76.2113,4,4,4,4,4,3,3,4,3,3,2,3,3,4,4,5,2,4,4,2,4,2,4,2,2,3,4,4,4,3,5,5,5,5,2,3,4,2,4,4,3,3,3,2,3,1,2,2,4,,3,I think it would harm not help engagement ,4
256,50.4084,-104.6526,5,3,4,3,3,4,4,2,4,4,3,5,4,4,3,4,4,4,2,2,4,3,4,3,3,4,4,4,3,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,1,1,4,4,,2,By using tools and methods that enhance their engagement ,4
291,37.3371,-79.2815,5,5,4,5,4,2,5,4,4,4,4,3,4,4,5,5,5,5,4,4,4,5,5,4,5,5,4,4,5,4,2,2,1,3,4,4,5,4,4,5,5,4,5,4,5,1,1,3,4,,4,It can give them a clearer picture of the curriculum ,2
214,36.3402,-79.6622,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,4,4,5,4,5,5,4,5,4,4,1,4,4,4,5,4,4,4,4,5,4,4,4,4,5,2,2,3,7,,4,It could bring out more involvement within the social community,4
332,32.8679,-80.0468,4,5,4,4,5,5,4,4,3,3,4,3,4,5,4,4,5,5,4,4,5,4,4,4,3,4,3,4,4,5,5,5,3,4,2,4,3,3,4,3,4,4,4,3,5,1,1,1,4,,2,I think that the use of AI will enhance my teachings by allowing more information and accuracy in multiple areas at the same time through quick processing than the brain.,3
325,47.6901,-122.3747,5,4,5,5,5,5,5,4,4,4,5,4,4,4,5,4,4,4,5,5,5,4,4,5,4,5,5,4,4,2,5,3,4,5,4,5,4,5,4,4,4,5,4,5,5,2,1,1,4,,4,Orcale,2
277,34.1438,-117.2548,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,4,4,5,5,5,5,4,5,5,5,5,5,5,3,1,2,2,,5,It is an additional education tool to be utilized to help engage learning ,1
167,43.2642,-79.9143,5,4,2,4,3,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,5,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,4,5,5,4,3,4,5,4,3,1,1,3,5,,3,It can show kids new ways to do stuff. ,1
156,33.1909,-96.6198,4,3,3,4,4,5,4,5,5,5,4,4,3,5,4,3,4,4,4,3,5,5,4,4,3,5,5,4,4,5,4,2,4,5,5,4,3,3,5,3,4,4,5,4,4,1,1,1,4,,3,It Will help a lot and more,1
686,32.3886,-86.1691,1,2,5,5,5,5,4,4,5,3,4,5,4,4,5,4,4,5,4,5,4,5,5,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,4,5,5,5,4,5,4,2,2,1,4,,2,i love it,3
405,44.6283,-63.5928,4,4,3,4,5,3,4,4,2,3,3,1,4,5,4,4,3,4,5,3,3,4,3,3,5,4,2,2,2,2,5,5,5,5,4,4,3,3,2,2,3,4,4,4,3,3,1,4,2,,5,"Students are enthusiastic about AI, so I believe I must harness and direct that enthusiasm toward productive outcomes. ",1
182,28.5177,-81.4508,5,4,4,5,4,4,5,5,4,5,4,4,4,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,4,5,1,1,2,1,,4,It helps me build a better understanding,4
448,39.9357,-75.1832,4,4,3,2,5,2,2,3,1,1,3,1,3,4,4,3,3,4,3,2,3,2,2,2,1,3,4,4,4,5,3,5,5,4,2,2,2,1,4,3,3,4,2,3,2,1,2,1,1,,2,Ai could possibly be useful for formatting lessons in ways that are less straining or more interesting to the minds of students.,3
316,45.6128,-73.6186,3,2,2,3,2,2,4,4,3,4,3,3,3,4,5,5,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,5,3,5,5,1,2,,11,,1,Kids love technologie that would be a great start to get their intentions.,4
171,49.1836,-123.1164,2,2,2,3,2,2,3,2,5,2,3,2,2,3,2,2,2,3,2,3,2,2,3,2,2,2,2,3,2,3,2,3,2,2,2,3,2,4,2,3,2,2,3,2,3,2,2,4,4,,4,Im not planning on using it ,1
433,44.4312,-81.386,2,2,2,2,2,4,4,4,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,3,2,2,2,1,1,1,1,3,4,4,1,2,,11,,4,I am not sure yet since I haven't had the chance to explore it.,3
469,45.5708,-73.6529,4,5,4,5,3,4,5,5,5,4,5,5,4,4,5,4,4,5,3,4,4,4,5,3,2,5,4,5,4,5,3,3,4,1,2,3,3,4,3,4,3,4,3,2,3,1,1,2,2,,4,It would save alot of time and it will give more info quicker,1
173,41.7697,-87.6985,3,3,2,2,3,4,4,2,1,1,1,1,2,4,3,4,3,4,4,4,4,3,4,3,4,4,3,3,4,5,4,3,4,5,4,4,4,4,4,3,3,4,4,4,5,1,2,2,3,,3,None ,3
425,53.7121,-122.8568,4,5,4,3,4,5,5,5,3,1,3,1,4,4,3,4,5,5,5,5,5,5,5,4,4,5,4,5,5,4,4,2,2,4,2,2,2,2,2,1,4,2,5,5,4,1,1,2,2,,2,"it is no different then levergaing the internet. Students will still have to think creatively and learn to analyze, they just have more computiong power now. They will be able to find more tailored information. They will still need to verify it for factual reporting.",2
162,40.0711,-75.2051,5,4,5,4,4,5,4,4,5,4,5,4,5,5,5,5,5,4,4,5,4,4,5,4,5,4,5,5,4,5,5,4,5,5,4,5,4,5,5,4,4,4,5,4,5,1,1,1,2,,4,They can help to clarify answers and do research ,1
532,43.64,-79.433,4,4,4,4,4,5,5,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,3,4,4,4,3,4,2,2,2,2,2,3,4,4,5,1,2,1,4,,1,By providing a fresh perspective of teaching experience ,4
659,49.8882,-97.1794,4,4,4,4,4,3,3,3,4,3,3,4,2,4,3,4,3,4,5,3,4,4,4,5,3,3,3,3,3,2,4,5,5,5,2,2,2,2,3,2,3,3,4,4,4,1,1,4,1,,3,"Generative AI provides opportunities for student to improve their own writing by critiquing AI outputs, particularly regarding fabricated information and attributions as well as detecting bias",4
421,39.1164,-77.7802,4,3,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,5,4,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,3,4,3,3,4,2,4,4,4,4,4,2,1,2,1,,5,We live in a society that expects immediacy and Generative AI tools help provide that. ,1
875,25.9436,-80.2264,5,5,4,3,2,5,1,5,5,3,4,5,3,5,5,4,3,4,5,3,5,2,1,3,4,5,4,4,4,2,5,5,2,5,5,3,5,5,5,2,3,4,5,3,3,2,1,1,2,,2,It will allow students to open up more with confidence ,3
209,45.5154,-73.5822,4,4,3,4,5,3,3,4,2,3,3,2,2,3,4,4,4,4,3,4,5,4,4,3,3,4,3,4,3,2,4,3,4,4,4,4,3,4,4,4,3,4,2,3,4,1,1,3,4,,3,,1
215,33.9249,-117.4592,4,4,4,4,5,2,2,2,2,2,2,1,2,5,4,5,3,3,2,2,2,2,2,2,3,3,4,4,5,5,4,4,5,5,4,3,1,1,4,2,4,4,1,1,1,1,1,4,4,,4,Generative AI tools would actually detract from the engineering material I teach and would not encourage student motivation and original creative and critical thinking,1
299,40.7297,-73.8163,4,4,4,4,4,5,4,3,3,4,5,3,4,4,3,5,5,4,5,3,3,4,2,5,5,3,2,3,2,4,4,5,2,1,3,1,5,4,5,4,4,3,3,2,3,2,1,1,3,,3,yes most definatly,4
283,43.6426,-79.4002,2,2,2,2,1,2,1,1,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,2,5,4,5,4,3,3,4,3,3,2,3,4,4,4,4,1,1,4,6,,2,Overall students should benefit from the new technology however there needs to be a limit in which how much we rely on these technologies ,2
261,41.2581,-95.9325,4,4,4,4,4,4,4,4,3,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,3,3,3,3,3,4,4,4,4,4,4,4,1,1,1,5,,3,It can help cut down the time to research and come up with new ideas ,1
488,26.9146,-82.0559,5,4,5,4,5,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,5,4,4,5,4,5,5,4,4,2,2,4,5,4,5,4,4,5,5,4,5,4,5,4,5,1,2,2,4,,5,We can improve the speed and accuracy of retrieving teaching materials in teaching.,1
315,45.4915,-73.3989,4,5,4,4,5,4,5,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,4,5,4,5,5,4,3,4,5,4,4,4,5,4,4,5,5,4,4,5,4,5,4,1,1,3,4,,2,BY INTERGRATING IN OUR CURRICULUM,1
739,29.5183,-95.0977,5,5,4,4,5,5,4,5,4,2,4,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,4,1,5,4,5,2,5,4,5,5,5,4,5,4,5,5,5,1,2,3,4,,5,"AI can produce resources like exercises, examples, questions, quizzes, and eBooks. Accessing a variety of learning materials can help students enhance their comprehension and engagement.",1
187,43.8678,-79.442,4,4,5,4,4,4,4,4,4,5,4,4,3,4,3,4,4,3,4,4,3,2,3,3,4,3,4,3,2,4,4,4,5,3,4,4,3,3,4,1,4,4,3,3,4,2,1,4,4,,3,"Good,",1
447,37.0453,-76.3404,4,4,4,4,4,3,4,4,1,1,4,1,4,4,3,4,3,5,5,3,4,4,5,3,4,5,4,4,4,3,4,5,5,4,1,1,1,1,3,1,3,3,1,1,1,3,2,2,7,,5,"For weekly announcements. To  help understand directions, rubrics, and assignments. ",4
440,41.945,-87.7996,5,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,1,4,4,,5,Make it easier for them to comprehend complex things,1
298,36.122,-115.086,4,5,4,5,4,4,4,4,4,3,3,3,3,5,5,4,4,4,3,4,5,4,4,5,4,4,4,4,4,3,4,4,2,4,2,4,3,3,4,4,4,3,4,4,4,2,1,2,2,,4,I use it for related topics and readings.,1
413,35.7767,-90.7694,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,1,1,1,3,4,3,2,5,1,5,4,5,5,5,2,1,3,1,,5,"Help with organizatio, research, fact checking, prioritization, suggestions, common and novel current practices",1
644,41.6244,-93.6694,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,3,2,3,3,2,2,2,4,4,4,3,1,2,1,,5,"Students love AI tools. They instantly become engaged when it is mentioned that AI tools are involved with the lesson/topic. The novelty may not last long, but currently students are eager to be involved with AI tools in the classroom.",4
236,40.7143,-111.8894,5,4,4,5,4,5,4,4,3,3,4,2,4,5,5,4,5,5,4,4,5,5,5,4,4,5,4,4,5,3,2,3,1,2,4,5,4,4,4,4,5,5,5,5,5,1,1,2,7,,2,I feel like it can really help me study and learn more about what I need to do and how it can help me ,3
320,45.3004,-75.9213,4,4,4,4,4,5,5,4,3,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,2,2,5,5,4,4,4,4,5,4,3,4,5,5,5,5,1,1,2,2,,4,I think it will allow me to reasearch and find information far more easily which will allow me to portray information quickly and accurately to my students.,1
216,41.7697,-87.6985,2,2,3,4,4,3,2,4,4,4,3,3,3,4,3,2,2,2,2,2,4,3,2,1,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,2,4,3,1,2,3,,4,Yes i do,3
390,42.2593,-84.7656,2,2,1,1,2,3,3,3,1,1,1,2,2,2,2,2,4,4,3,3,3,3,3,3,3,4,4,3,4,2,3,3,3,4,2,2,3,2,1,2,2,3,3,4,3,1,2,2,1,,3,I think the idea of new technology excites anyone ,4
294,37.7825,-122.435,2,2,3,3,1,4,4,3,3,4,2,3,3,2,2,3,2,2,2,2,3,4,3,4,3,4,2,2,3,3,1,3,4,4,3,3,2,4,4,4,3,4,2,2,3,1,1,3,5,,3,I think it’s cool to use AI as a tool to help preparing teaching materials. The thing I most concern about is that students may start rely more on the AI to the help them learning which would decrease the engagement and become a passive learning style as suppose to an active learning style. ,2
175,43.7032,-79.5293,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,4,3,4,5,4,4,3,4,3,5,4,4,4,4,3,5,4,4,3,3,4,4,5,3,1,2,2,2,,2,I like them,1
259,47.8302,-122.3331,5,4,4,5,4,5,3,5,2,1,1,1,4,4,4,4,4,5,4,4,5,4,4,5,5,5,5,4,4,5,5,5,5,5,2,1,2,1,2,2,4,4,4,5,5,1,2,3,4,,3,I think the use of Generative AI tools can increase student creativity and brainstorming skills which can increase their engagement with their learning material in the classroom.,2
