item_id,Product,division,product_category,customer,Country,sales_Org 
25275,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
38311,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
36062,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
12529,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
40676,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
38240,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
17730,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
23157,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
40210,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
42612,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
25491,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
39491,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
27230,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
29169,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
49114,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
40777,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
23459,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
21168,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
16582,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
41502,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
44632,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
44055,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
27912,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
19287,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
45652,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
40109,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
31133,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
23242,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
12301,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
28028,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
12773,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
37693,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
42533,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
19790,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
23996,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
48953,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
13961,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
47911,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
17322,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
11869,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
43319,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
26300,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
22712,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
48893,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
29140,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
20692,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
17182,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
19800,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
36213,Air Pump,AS,ACC,Airport Bikes,DE,Germany South
