item_id,year/month,year,month,costs,Discount,net_sales,revenue ,sales_quantity
25275,Jan-07,2007,1,28,1.84,59.74,61.59,2
38311,Feb-07,2007,2,28,1.84,59.74,61.59,2
36062,Nov-07,2007,11,28,1.84,59.74,61.59,2
12529,Jan-08,2008,1,28,1.87,60.66,62.53,2
40676,Jan-10,2010,1,28,1.94,62.48,64.42,2
38240,Feb-11,2011,2,28,1.97,63.42,65.39,2
17730,Dec-08,2008,12,42,2.81,90.98,93.8,3
23157,Mar-09,2009,3,42,2.85,92.36,95.21,3
40210,Oct-09,2009,10,42,2.85,92.36,95.21,3
42612,Dec-10,2010,12,42,2.89,93.73,96.62,3
25491,Jan-11,2011,1,42,2.95,95.13,98.08,3
39491,Oct-10,2010,10,56,3.86,124.97,128.83,4
27230,Nov-10,2010,11,56,3.88,124.96,128.83,4
29169,Oct-08,2008,10,70,4.69,151.64,156.33,5
49114,Nov-08,2008,11,70,4.69,151.64,156.33,
40777,Jan-09,2009,1,70,4.77,153.92,158.69,5
23459,Mar-11,2011,3,70,4.9,158.56,163.47,5
21168,Sep-07,2007,9,84,5.55,179.22,184.77,6
16582,Dec-07,2007,12,84,5.53,179.23,184.77,6
41502,Dec-09,2009,12,84,5.72,184.7,190.42,6
44632,Mar-10,2010,3,84,5.8,187.45,193.25,6
44055,Aug-07,2007,8,98,6.46,209.1,215.56,7
27912,Feb-10,2010,2,98,6.76,218.7,225.46,7
19287,Oct-11,2011,10,98,6.87,221.98,228.85,7
45652,Nov-11,2011,11,98,6.87,221.98,228.85,7
40109,Dec-11,2011,12,98,6.87,221.98,228.85,7
31133,Nov-09,2009,11,112,7.62,246.27,253.9,8
23242,Sep-10,2010,9,112,7.74,249.92,257.67,8
12301,Mar-08,2008,3,126,8.44,272.95,281.39,9
28028,Oct-07,2007,10,140,9.24,298.71,307.94,10
12773,Feb-09,2009,2,140,9.52,307.85,317.37,10
37693,Aug-09,2009,8,140,9.52,307.85,317.37,
42533,Mar-07,2007,3,154,10.17,328.57,338.74,11
19790,May-09,2009,5,154,10.48,338.63,349.11,11
23996,Feb-08,2008,2,168,11.26,363.93,375.19,12
48953,Sep-08,2008,9,182,12.19,394.27,406.45,13
13961,Apr-11,2011,4,182,12.75,412.26,425.01,13
47911,Jul-07,2007,7,196,12.93,418.2,431.12,14
17322,Sep-09,2009,9,196,13.33,430.99,444.32,14
11869,Sep-11,2011,9,210,14.7,475.69,490.4,15
43319,Apr-08,2008,4,224,15.01,485.24,500.25,16
26300,May-11,2011,5,266,18.64,602.53,621.17,19
22712,Jul-11,2011,7,280,19.61,634.26,653.86,20
48893,Apr-10,2010,4,336,23.19,749.81,773,24
29140,Apr-09,2009,4,350,23.81,769.62,793.43,25
20692,Jul-09,2009,7,364,24.75,800.41,825.16,26
17182,Aug-10,2010,8,364,25.13,812.29,837.42,26
19800,Aug-11,2011,8,378,26.49,856.23,882.71,27
36213,Jul-08,2008,7,392,26.27,849.17,875.44,28
12839,Aug-08,2008,8,392,26.26,849.18,875.44,28
11962,May-08,2008,5,420,28.14,909.83,937.97,30
12169,Jun-08,2008,6,434,29.08,940.15,969.24,31
30141,May-10,2010,5,448,30.92,999.75,1030.66,32
39687,Jun-10,2010,6,448,30.92,999.75,1030.66,32
37498,Jul-10,2010,7,462,31.9,1030.97,1062.87,33
23822,Apr-07,2007,4,476,31.41,1015.6,1047.01,34
36239,Jun-09,2009,6,616,41.89,1354.54,1396.43,44
23011,Jun-07,2007,6,700,46.2,1493.52,1539.72,50
36484,Jun-11,2011,6,700,49.04,1585.61,1634.65,50
24317,May-07,2007,5,728,48.04,1553.27,1601.31,52
46332,Apr-07,2007,4,700,49.5,1600.5,1650,1
39947,May-07,2007,5,700,49.5,1600.5,1650,1
28976,Jun-07,2007,6,700,49.5,1600.5,1650,1
37701,Jun-08,2008,6,700,50.24,1624.51,1674.75,1
42096,May-09,2009,5,700,50.99,1648.88,1699.88,1
12471,Apr-10,2010,4,700,51.76,1673.61,1725.36,1
17003,May-11,2011,5,700,52.54,1698.7,1751.24,1
40901,Jun-11,2011,6,700,52.54,1698.7,1751.24,1
21456,Feb-07,2007,2,1000,56.1,1813.91,1870.01,1
11237,Jan-08,2008,1,1000,56.94,1841.11,1898.05,1
41104,Nov-09,2009,11,1000,57.79,1868.73,1926.52,1
28306,Dec-09,2009,12,1000,57.79,1868.73,1926.52,1
16183,Dec-07,2007,12,2000,112.2,3627.81,3740.01,2
10783,Feb-08,2008,2,2000,113.89,3682.22,3796.11,2
48390,Dec-08,2008,12,2000,113.89,3682.22,3796.11,2
47906,Oct-09,2009,10,2000,115.6,3737.44,3853.04,2
29890,Jan-10,2010,1,2000,117.32,3793.51,3910.83,2
14882,Mar-10,2010,3,2000,117.32,3793.51,3910.83,2
38656,Nov-11,2011,11,2000,119.08,3850.42,3969.51,2
27744,Dec-11,2011,12,2000,119.08,3850.42,3969.51,2
29041,Oct-08,2008,10,3000,170.83,5523.33,5694.16,3
48491,Jan-09,2009,1,3000,173.39,5606.17,5779.56,3
47534,Oct-10,2010,10,3000,175.99,5690.26,5866.24,3
11726,Dec-10,2010,12,3000,175.99,5690.26,5866.24,3
44361,Jan-11,2011,1,3000,178.63,5775.64,5954.26,3
47009,Aug-11,2011,8,3000,178.63,5775.64,5954.26,3
17962,Jan-07,2007,1,4000,224.39,7255.63,7480.02,4
21405,Nov-07,2007,11,4000,224.39,7255.63,7480.02,4
42452,Nov-08,2008,11,4000,227.77,7364.44,7592.21,4
28987,Feb-09,2009,2,4000,231.18,7474.89,7706.07,4
26176,Mar-09,2009,3,4000,231.18,7474.89,7706.07,4
33683,Aug-10,2010,8,4000,234.65,7587,7821.66,4
31786,Aug-09,2009,8,5000,288.97,9343.62,9632.59,5
34241,Sep-08,2008,9,6000,341.65,11046.67,11388.32,6
42982,Sep-09,2009,9,6000,346.76,11212.35,11559.11,6
26724,Mar-11,2011,3,6000,357.25,11551.27,11908.53,6
37682,Apr-11,2011,4,6000,357.25,11551.27,11908.53,6
31014,Mar-07,2007,3,7000,392.69,12697.35,13090.04,7
