,course_code,course_name,course_description
0,ACC 210,Introduction to Accounting,"This course provides an introduction to basic principles and methods of accounting essential to preparation, understanding and interpretation of financial statements. Topics include accounting for merchandising concerns, current assets, long-term assets, liabilities and equity accounts. A brief overview of internal control is also covered."
1,ACC 220,Managerial Uses of Accounting,"This course provides an introduction to the use of accounting information in managerial decision-making. Topics include cost behavior, cost classifications, and problem-solving functions of accounting as they pertain to planning, control, evaluation of performance, special decisions, and budgeting.  The interpretation of published financial statements and the statement of cash flow are also covered."
2,ACC 302,Cost Management,"This course focuses on firm strategy and the role managerial accounting information plays in the decision making process. Topics include the balanced scorecard, the value chain, product life cycles , target costing, theory of constraints, strategic pricing, management and control of quality cost systems, traditional and activity-based costing, cost control, standard costs and variances, and capital budgeting."
3,ACC 302P,Cost Management,"This course focuses on firm strategy and the role managerial accounting information plays in the decision making process. Topics include the balanced scorecard, the value chain, product life cycles , target costing, theory of constraints, strategic pricing, management and control of quality cost systems, traditional and activity-based costing, cost control, standard costs and variances, and capital budgeting."
4,ACC 310,Acct Theory & Concepts I,"This is the first upper-level course in a sequence in financial accounting courses.  Topics include the conceptual framework, and standard setting process followed by application and evaluation of generally accepted accounting principles including content, and structure of financial statements, present value concepts, current assets, current liabilities, property, plant, and equipment, intangible assets and non-current liabilities are studied. An overview of comparable international financial reporting standards (IFRS) is also included."
5,ACC 310P,Acct Theory & Concepts I,"This is the first upper-level course in a sequence in financial accounting courses. Topics include the conceptual framework, and standard setting process followed by application and evaluation of generally accepted accounting principles including content, and structure of financial statements, present value concepts, current assets, current liabilities, property, plant, and equipment, intangible assets and non-current liabilities are studied. An overview of comparable international financial reporting standards (IFRS) is also included."
6,ACC 311,Accounting Theory & Concepts II,"This course is a continuation of ACC 310. Topics include long-term investments, stockholders’ equity, earnings per share, interperiod income tax allocation, accounting changes, revenue recognition, pensions, leases and cash flow analysis. An overview of comparable international financial reporting standards (IFRS) is also included."
7,ACC 311P,Acct Theory & Concepts II,"This course is a continuation of ACC 310. Topics include long-term investments, stockholders’ equity, earnings per share, interperiod income tax allocation, accounting changes, revenue recognition, pensions, leases and cash flow analysis. An overview of comparable international financial reporting standards (IFRS) is also included."
8,ACC 320,Accounting Info Systems,"This course provides an introduction to accounting information systems and enterprise-wide, process-focused information systems. Topics include quality of data for decision usefulness, internal control concepts and documentation tools, and database theory and applications."
9,ACC 321,Internal Auditing,"This course provides an introduction to the internal audit profession, including understanding the nature and activities associated with the internal audit process. Topics include: international auditing standards, risk assessment including internal control system evaluation, business processes, and the relationship of management and employee fraud to the internal audit process."
10,ACC 325,Fraud Examination and Business Forensics,"This course provides an introduction to the prevalence of fraud in all forms of business, including the many methods used by employees and managers to perpetrate fraud. Topics include: the motivation of individuals to commit fraud, various types of fraud schemes perpetrated in the workplace, as well as the various tools and techniques that are used to investigate, detect and prevent fraud."
11,ACC 335,Small Business Taxation,This course provides an understanding of the key tax issues faced by small businesses and their business implications. It also familiarizes prospective business owners with various tax filing requirements so that they can use the expertise of tax professionals more effectively.
