product,division,product_category,customer,country,sales_Org,year/month,year,month,costs,discount,net_sales,revenue,sales_quantity
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JAN 2007,2007,1,28.00,1.84,59.74,61.59,2 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,FEB 2007,2007,2,28.00,1.84,59.74,61.59,2 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,NOV 2007,2007,11,28.00,1.84,59.74,61.59,2 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JAN 2008,2008,1,28.00,1.87,60.66,62.53,2 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JAN 2010,2010,1,28.00,1.94,62.48,64.42,2 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,FEB 2011,2011,2,28.00,1.97,63.42,65.39,2 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,DEC 2008,2008,12,42.00,2.81,90.98,93.80,3 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAR 2009,2009,3,42.00,2.85,92.36,95.21,3 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,OCT 2009,2009,10,42.00,2.85,92.36,95.21,3 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,DEC 2010,2010,12,42.00,2.89,93.73,96.62,3 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JAN 2011,2011,1,42.00,2.95,95.13,98.08,3 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,OCT 2010,2010,10,56.00,3.86,124.97,128.83,4 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,NOV 2010,2010,11,56.00,3.88,124.96,128.83,4 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,OCT 2008,2008,10,70.00,4.69,151.64,156.33,5 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,NOV 2008,2008,11,70.00,4.69,151.64,156.33,5 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JAN 2009,2009,1,70.00,4.77,153.92,158.69,5 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAR 2011,2011,3,70.00,4.90,158.56,163.47,5 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,SEP 2007,2007,9,84.00,5.55,179.22,184.77,6 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,DEC 2007,2007,12,84.00,5.53,179.23,184.77,6 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,DEC 2009,2009,12,84.00,5.72,184.70,190.42,6 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAR 2010,2010,3,84.00,5.80,187.45,193.25,6 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,AUG 2007,2007,8,98.00,6.46,209.10,215.56,7 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,FEB 2010,2010,2,98.00,6.76,218.70,225.46,7 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,OCT 2011,2011,10,98.00,6.87,221.98,228.85,7 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,NOV 2011,2011,11,98.00,6.87,221.98,228.85,7 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,DEC 2011,2011,12,98.00,6.87,221.98,228.85,7 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,NOV 2009,2009,11,112.00,7.62,246.27,253.90,8 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,SEP 2010,2010,9,112.00,7.74,249.92,257.67,8 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAR 2008,2008,3,126.00,8.44,272.95,281.39,9 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,OCT 2007,2007,10,140.00,9.24,298.71,307.94,10 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,FEB 2009,2009,2,140.00,9.52,307.85,317.37,10 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,AUG 2009,2009,8,140.00,9.52,307.85,317.37,10 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAR 2007,2007,3,154.00,10.17,328.57,338.74,11 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAY 2009,2009,5,154.00,10.48,338.63,349.11,11 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,FEB 2008,2008,2,168.00,11.26,363.93,375.19,12 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,SEP 2008,2008,9,182.00,12.19,394.27,406.45,13 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,APR 2011,2011,4,182.00,12.75,412.26,425.01,13 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUL 2007,2007,7,196.00,12.93,418.20,431.12,14 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,SEP 2009,2009,9,196.00,13.33,430.99,444.32,14 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,SEP 2011,2011,9,210.00,14.70,475.69,490.40,15 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,APR 2008,2008,4,224.00,15.01,485.24,500.25,16 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,MAY 2011,2011,5,266.00,18.64,602.53,621.17,19 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,JUL 2011,2011,7,280.00,19.61,634.26,653.86,20 
Air Pump,AS,ACC,Airport Bikes,DE,Germany South,APR 2010,2010,4,336.00,23.19,749.81,773.00,24 
